contexto,lacuna,gabarito,classificacao,correcao
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",era,suspirava,verbo,classe_correta
Só depois [LACUNA],disso,descobriram,contração,incorreta
Não [LACUNA] coisa alguma,tinha,viajavam,verbo,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,viviam,ficavam,verbo,classe_correta
Ela [LACUNA] os folhetos das companhias de turismo,mandava,estudava,verbo,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,tirava,editava,verbo,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,estava,ficava,verbo,aceitavel
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",-,Escrevia,-,incorreta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",tinham,colava,verbo,classe_correta
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,falava,decorava,verbo,classe_correta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,colegas,confirmá,nome substantivo,incorreta
Só [LACUNA] de casa à noite,saiam,saíam,verbo,aceitavel
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,fazia,fazia,verbo,exata
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,fazia,comprava,verbo,classe_correta
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,colocava,depositava,verbo,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,era,verbo,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,trabalhava,verbo,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",tinham,juntaram,verbo,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",pagar,viajar,verbo,classe_correta
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",sair,contar,verbo,classe_correta
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",era,era,verbo,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",tinham,criaram,verbo,classe_correta
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",escreveram,telefonavam,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",eles,contarem,pronome pessoal,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",fotografassem,viajaram,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",mandassem,enviavam,verbo,aceitavel
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",com,convidavam,preposição,incorreta
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",mandar,verem,verbo,classe_correta
E [LACUNA] muitas histórias interessantes,que,contavam,conjunção integrativa,incorreta
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",fazia,contava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",ele,confirmava,pronome pessoal,incorreta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",agora,suspirava,advérbio de tempo,incorreta
Só depois [LACUNA],que,descobriram,conjunção integrativa,incorreta
Não [LACUNA] coisa alguma,conseguia,viajavam,verbo,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,eram,ficavam,verbo,classe_correta
Ela [LACUNA] os folhetos das companhias de turismo,era,estudava,verbo,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,tirava,editava,verbo,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,conseguia,ficava,verbo,classe_correta
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",enseavam,Escrevia,verbo,classe_correta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",também,colava,advérbio de inclusão,incorreta
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,e,decorava,conjunção aditiva,incorreta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,para,confirmá,preposição,incorreta
Só [LACUNA] de casa à noite,-,saíam,-,incorreta
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,era,fazia,verbo,classe_correta
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,tambem,comprava,advérbio de inclusão,incorreta
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,conseguia,depositava,verbo,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,era,verbo,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,trabalhava,verbo,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",ganhou,juntaram,verbo,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",casar,viajar,verbo,classe_correta
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",falar,contar,verbo,aceitavel
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",era,era,verbo,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",fez,criaram,verbo,classe_correta
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",falava,telefonavam,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",ir,contarem,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",pesquisar,viajaram,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",passear,enviavam,verbo,classe_correta
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",chamou,convidavam,verbo,aceitavel
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",amostrar,verem,verbo,classe_correta
E [LACUNA] muitas histórias interessantes,são,contavam,verbo,classe_correta
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",falava,contava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",sabia,confirmava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",muito,suspirava,advérbio de intensidade,incorreta
Só depois [LACUNA],souberam,descobriram,verbo,aceitavel
Não [LACUNA] coisa alguma,quer,viajavam,verbo,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,ficavam,ficavam,verbo,exata
Ela [LACUNA] os folhetos das companhias de turismo,espalhava,estudava,verbo,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,amostrava,editava,verbo,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,era,ficava,verbo,aceitavel
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",E,Escrevia,conjunção aditiva,incorreta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",eram,colava,verbo,classe_correta
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,sabe,decorava,verbo,classe_correta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,conta,confirmá,verbo,classe_correta
Só [LACUNA] de casa à noite,saia,saíam,verbo,aceitavel
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,fazia,fazia,verbo,exata
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,comprava,comprava,verbo,exata
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,cartões,depositava,nome substantivo,incorreta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,era,verbo,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",trabalhava,trabalhava,verbo,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",tinha,juntaram,verbo,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",viajar,viajar,verbo,exata
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",viajar,contar,verbo,classe_correta
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",era,era,verbo,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",montaram,criaram,verbo,aceitavel
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",cabe,telefonavam,nome substantivo,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",viagem,contarem,nome substantivo,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",levam,viajaram,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",peguem,enviavam,verbo,classe_correta
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",chamar,convidavam,verbo,aceitavel
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",tirar,verem,verbo,classe_correta
E [LACUNA] muitas histórias interessantes,contar,contavam,verbo,aceitavel
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",gastou,contava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",fez,confirmava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",ficou,suspirava,verbo,classe_correta
Só depois [LACUNA],viajar,descobriram,verbo,classe_correta
Não [LACUNA] coisa alguma,tem,viajavam,verbo,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,ficaram,ficavam,verbo,aceitavel
Ela [LACUNA] os folhetos das companhias de turismo,pegou,estudava,verbo,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,tirou,editava,verbo,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,ficou,ficava,verbo,aceitavel
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",deu,Escrevia,verbo,classe_correta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",botou,colava,verbo,aceitavel
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,falou,decorava,verbo,classe_correta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,amendronta,confirmá,verbo,classe_correta
Só [LACUNA] de casa à noite,dentro,saíam,advérbio de lugar,incorreta
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,fez,fazia,verbo,aceitavel
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,pegou,comprava,verbo,classe_correta
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,enviou,depositava,verbo,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,era,verbo,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,trabalhava,verbo,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",havia,juntaram,verbo,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",sustentarem,viajar,verbo,classe_correta
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",casar,contar,verbo,classe_correta
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",era,era,verbo,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",em,criaram,preposição,incorreta
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",falaram,telefonavam,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",-,contarem,-,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",pesquisar,viajaram,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",enviar,enviavam,verbo,aceitavel
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",todos,convidavam,pronome indefinido,incorreta
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",que,verem,conjunção integrativa,incorreta
E [LACUNA] muitas histórias interessantes,que,contavam,conjunção integrativa,incorreta
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",tinha,contava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",com,confirmava,preposição,incorreta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",muito,suspirava,advérbio de intensidade,incorreta
Só depois [LACUNA],descobriu,descobriram,verbo,aceitavel
Não [LACUNA] coisa alguma,era,viajavam,verbo,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,ficaram,ficavam,verbo,aceitavel
Ela [LACUNA] os folhetos das companhias de turismo,organizou,estudava,verbo,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,todas,editava,pronome indefinido,incorreta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,sempre,ficava,advérbio de tempo,incorreta
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",E,Escrevia,conjunção aditiva,incorreta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",colocaram,colava,verbo,aceitavel
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,encontra,decorava,verbo,classe_correta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,lembra,confirmá,verbo,classe_correta
Só [LACUNA] de casa à noite,que,saíam,conjunção integrativa,incorreta
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,fez,fazia,verbo,aceitavel
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,comprou,comprava,verbo,aceitavel
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,enviou,depositava,verbo,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",é,era,verbo,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",trabalha,trabalhava,verbo,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",conseguia,juntaram,verbo,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",viajar,viajar,verbo,exata
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",falar,contar,verbo,aceitavel
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",era,era,verbo,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",tinham,criaram,verbo,classe_correta
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",falavam,telefonavam,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",eles,contarem,pronome pessoal,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",curtissem,viajaram,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",enviacem,enviavam,verbo,aceitavel
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",seus,convidavam,pronome possessivo,incorreta
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",tirar,verem,verbo,classe_correta
E [LACUNA] muitas histórias interessantes,contar,contavam,verbo,aceitavel
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",falava,contava,verbo,aceitavel
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",fotografava,confirmava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",ficava,suspirava,verbo,classe_correta
Só depois [LACUNA],parou,descobriram,verbo,classe_correta
Não [LACUNA] coisa alguma,falava,viajavam,verbo,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,ficaram,ficavam,verbo,aceitavel
Ela [LACUNA] os folhetos das companhias de turismo,enviava,estudava,verbo,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,tirava,editava,verbo,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,ficava,ficava,verbo,exata
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",enviaram,Escrevia,verbo,classe_correta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",e,colava,conjunção aditiva,incorreta
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,contava,decorava,verbo,classe_correta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,anima,confirmá,verbo,classe_correta
Só [LACUNA] de casa à noite,próximo,saíam,advérbio de lugar,incorreta
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,ficou,fazia,verbo,classe_correta
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,compra,comprava,verbo,aceitavel
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,envia,depositava,verbo,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",tinha,era,verbo,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,trabalhava,verbo,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",tinha,juntaram,verbo,aceitavel
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",gastar,viajar,verbo,classe_correta
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",ir,contar,verbo,classe_correta
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",era,era,verbo,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",Havia,criaram,verbo,classe_correta
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",ia,telefonavam,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",poder,contarem,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",ele,viajaram,pronome pessoal,incorreta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",amigos,enviavam,nome substantivo,incorreta
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",-,convidavam,-,incorreta
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",dar,verem,verbo,classe_correta
E [LACUNA] muitas histórias interessantes,tinha,contavam,verbo,classe_correta
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",tinha,contava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",estava,confirmava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",todos,suspirava,pronome indefinido,incorreta
Só depois [LACUNA],disso,descobriram,contração,incorreta
Não [LACUNA] coisa alguma,tinha,viajavam,verbo,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,estavam,ficavam,verbo,aceitavel
Ela [LACUNA] os folhetos das companhias de turismo,tinha,estudava,verbo,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,havia,editava,verbo,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,estava,ficava,verbo,aceitavel
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",e,Escrevia,conjunção aditiva,incorreta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",mas,colava,conjunção adversativa,incorreta
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,Havia,decorava,verbo,classe_correta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,conta,confirmá,verbo,classe_correta
Só [LACUNA] de casa à noite,então,saíam,advérbio de tempo,incorreta
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,depois,fazia,advérbio de tempo,incorreta
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,comprou,comprava,verbo,aceitavel
O menino fazia um pouco de exercício; ela comprava comida num supermercado distante; e ele [LACUNA] os postais nas caixas de correspondência dos amigos,mandou,depositava,verbo,classe_correta
"O marido [LACUNA] um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para viajar",era,era,verbo,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa [LACUNA] como professora do primário, nunca juntaram dinheiro suficiente para viajar",trabalhava,trabalhava,verbo,exata
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca [LACUNA] dinheiro suficiente para viajar",avia,juntaram,verbo,classe_correta
"O marido era um pequeno funcionário de uma grande firma, e a esposa trabalhava como professora do primário, nunca juntaram dinheiro suficiente para [LACUNA]",viajar,viajar,verbo,exata
"Mas a vontade de [LACUNA] para os amigos sobre as maravilhas das cidades europeias era tão grande, que criaram um plano",contar,contar,verbo,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias [LACUNA] tão grande, que criaram um plano",era,era,verbo,exata
"Mas a vontade de contar para os amigos sobre as maravilhas das cidades europeias era tão grande, que [LACUNA] um plano",em,criaram,preposição,incorreta
"Todos os anos, no fim de janeiro, [LACUNA] aos amigos para contarem que viajaram e enviavam cartões-postais de lugares lindos",enviavam,telefonavam,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para [LACUNA] que viajaram e enviavam cartões-postais de lugares lindos",saberem,contarem,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que [LACUNA] e enviavam cartões-postais de lugares lindos",estão,viajaram,verbo,classe_correta
"Todos os anos, no fim de janeiro, telefonavam aos amigos para contarem que viajaram e [LACUNA] cartões-postais de lugares lindos",em,enviavam,preposição,incorreta
"Depois disso, [LACUNA] os amigos para verem as fotos da viagem",todos,convidavam,pronome indefinido,incorreta
"Depois disso, convidavam os amigos para [LACUNA] as fotos da viagem",todas,verem,pronome indefinido,incorreta
E [LACUNA] muitas histórias interessantes,contam,contavam,verbo,aceitavel
"O filho, de dez anos, não [LACUNA] nada, mas confirmava tudo e suspirava envergonhado",sabia,contava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas [LACUNA] tudo e suspirava envergonhado",era,confirmava,verbo,classe_correta
"O filho, de dez anos, não contava nada, mas confirmava tudo e [LACUNA] envergonhado",também,suspirava,advérbio de inclusão,incorreta
Só depois [LACUNA],passou,descobriram,verbo,classe_correta
Não [LACUNA] coisa alguma,tinha,viajavam,verbo,classe_correta
Eles [LACUNA] trancados em casa durante todo o mês de férias,estavam,ficavam,verbo,aceitavel
Ela [LACUNA] os folhetos das companhias de turismo,pegava,estudava,verbo,classe_correta
Ele [LACUNA] as fotos em que a imagem deles ficava sobreposta a imagens de lugares do exterior,tirava,editava,verbo,classe_correta
Ele editava as fotos em que a imagem deles [LACUNA] sobreposta a imagens de lugares do exterior,estão,ficava,verbo,aceitavel
"[LACUNA] os cartões-postais, colava neles selos usados com carimbos falsificados",todos,Escrevia,pronome indefinido,incorreta
"Escrevia os cartões-postais, [LACUNA] neles selos usados com carimbos falsificados",tinham,colava,verbo,classe_correta
O menino [LACUNA] as histórias contadas pelos pais para confirmá-las,envergonhado,decorava,adjetivo,incorreta
O menino decorava as histórias contadas pelos pais para [LACUNA]-las,desmenti,confirmá,verbo,classe_correta
Só [LACUNA] de casa à noite,saia,saíam,verbo,aceitavel
O menino [LACUNA] um pouco de exercício; ela comprava comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,era,fazia,verbo,classe_correta
O menino fazia um pouco de exercício; ela [LACUNA] comida num supermercado distante; e ele depositava os postais nas caixas de correspondência dos amigos,compava,comprava,verbo,aceitavel
