contexto,lacuna,gabarito,classificacao,correcao,pontuacao_nlpcloze,correcao_nlpcloze
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,tiveram,começaram,verbo,classe_correta,0.5,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,ferocidade,agredir,nome substantivo,incorreta,0.0,incorreta
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",no,tiveram,preposição,incorreta,0.0,incorreta
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",aproveitavam,machucassem,verbo,classe_correta,0.5,classe_correta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",jogaram,pegaram,verbo,classe_correta,1.0,grafia_incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",jacarés,despejaram,nome substantivo,incorreta,0.0,incorreta
E [LACUNA] a descarga,deram,puxaram,verbo,aceitavel,1.0,aceitavel
[LACUNA] um erro fatal para os jacarés,Foi,Foi,verbo,exata,1.0,exata
"Mas eles [LACUNA] ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",eram,eram,verbo,exata,1.0,exata
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",jogaram,despejaram,verbo,aceitavel,1.0,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",apertaram,puxaram,verbo,aceitavel,1.0,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",machucassem,machucassem,verbo,exata,1.0,exata
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",foi,Foi,verbo,exata,1.0,exata
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",-,sobreviveram,-,incorreta,0.0,branco
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",-,moraram,-,incorreta,0.0,branco
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",passou,reproduziram,verbo,classe_correta,0.5,classe_correta
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",aumentava,aumentava,verbo,exata,1.0,exata
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",ficaram,ficaram,verbo,exata,1.0,exata
"Quando as autoridades [LACUNA], já era tarde",ficaram,souberam,verbo,aceitavel,0.5,classe_correta
"Quando as autoridades souberam, já [LACUNA] tarde",era,era,verbo,exata,1.0,exata
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,estavam,tomaram,verbo,classe_correta,0.5,classe_correta
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,-,comeram,-,incorreta,0.0,branco
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,era,foi,verbo,aceitavel,1.0,aceitavel
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,tinham,incorporaram,verbo,classe_correta,0.5,classe_correta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],-,devoravam,-,incorreta,0.0,branco
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",aguentou,mudou,verbo,classe_correta,0.5,classe_correta
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",os,eram,artigo definido,incorreta,0.0,incorreta
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",tomaram,dominavam,verbo,aceitavel,0.5,classe_correta
Alguns humanos [LACUNA],-,sobreviveram,-,incorreta,0.0,branco
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,-,devoraram,-,incorreta,0.0,branco
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,-,começaram,-,incorreta,0.0,branco
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,-,fazer,-,incorreta,0.0,branco
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",-,reproduziram,-,incorreta,0.0,branco
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",vendeu,venderam,verbo,aceitavel,0.5,classe_correta
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,tinham,perderam,verbo,classe_correta,0.5,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,-,começaram,-,incorreta,0.0,branco
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,-,agredir,-,incorreta,0.0,branco
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",com,tiveram,preposição,incorreta,0.0,incorreta
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",machucassem,machucassem,verbo,exata,1.0,exata
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",pegaram,pegaram,verbo,exata,1.0,exata
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",jogaram,despejaram,verbo,aceitavel,1.0,aceitavel
E [LACUNA] a descarga,deram,puxaram,verbo,aceitavel,1.0,aceitavel
[LACUNA] um erro fatal para os jacarés,foi,Foi,verbo,exata,1.0,exata
"Mas eles [LACUNA] ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",eram,eram,verbo,exata,1.0,exata
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",jogaram,despejaram,verbo,aceitavel,1.0,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",deram,puxaram,verbo,aceitavel,1.0,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",machucassem,machucassem,verbo,exata,1.0,exata
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",foi,Foi,verbo,exata,1.0,exata
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",perigosos,sobreviveram,adjetivo,incorreta,0.0,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",ferozes,moraram,adjetivo,incorreta,0.0,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",multiplicaram,reproduziram,verbo,aceitavel,1.0,aceitavel
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",crecia,aumentava,verbo,aceitavel,0.0,incorreta
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",ficaram,ficaram,verbo,exata,1.0,exata
"Quando as autoridades [LACUNA], já era tarde",descobriram,souberam,verbo,aceitavel,1.0,aceitavel
"Quando as autoridades souberam, já [LACUNA] tarde",era,era,verbo,exata,1.0,exata
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,invadiram,tomaram,verbo,aceitavel,1.0,aceitavel
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,atacaram,comeram,verbo,aceitavel,1.0,aceitavel
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,era,foi,verbo,aceitavel,1.0,aceitavel
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,tinham,incorporaram,verbo,classe_correta,0.5,classe_correta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],comiam,devoravam,verbo,aceitavel,1.0,aceitavel
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",mudou,mudou,verbo,exata,1.0,exata
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",eram,eram,verbo,exata,1.0,exata
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",comandavam,dominavam,verbo,aceitavel,1.0,grafia_incorreta
Alguns humanos [LACUNA],sobraram,sobreviveram,verbo,classe_correta,0.5,classe_correta
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,devoraram,devoraram,verbo ,exata,1.0,exata
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,fizeram,começaram,verbo ,classe_correta,0.5,classe_correta
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,mesma,fazer,pronome demonstrativo,incorreta,0.0,incorreta
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",criaram,reproduziram,verbo,aceitavel,1.0,aceitavel
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",venderam,venderam,verbo,exata,1.0,exata
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,perderam,perderam,verbo,exata,1.0,exata
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,atacavam,começaram,verbo,classe_correta,0.5,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,todos,agredir,pronome indefinido,incorreta,0.0,incorreta
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",tinham,tiveram,verbo,incorreta,1.0,aceitavel
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",machucasse,machucassem,verbo,classe_correta,1.0,grafia_incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",pegou,pegaram,verbo,aceitavel,0.5,classe_correta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",jogou,despejaram,verbo,aceitavel,0.5,classe_correta
E [LACUNA] a descarga,apertou,puxaram,verbo,aceitavel,1.0,aceitavel
[LACUNA] um erro fatal para os jacarés,Foi,Foi,verbo,exata,1.0,exata
"Mas eles [LACUNA] ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",são,eram,verbo,aceitavel,1.0,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",são,despejaram,verbo,classe_correta,0.5,classe_correta
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",que,puxaram,pronome relativo,incorreta,0.0,incorreta
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",-,machucassem,-,incorreta,0.0,branco
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",ser,Foi,verbo,aceitavel,0.5,classe_correta
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",Feras,sobreviveram,adjetivo,incorreta,0.0,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",esta,moraram,verbo,classe_correta,0.0,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",que,reproduziram,conjunção integrante,incorreta,0.0,incorreta
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",Se,aumentava,conjunção ,incorreta,0.0,incorreta
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",que,ficaram,preposição,incorreta,0.0,incorreta
"Quando as autoridades [LACUNA], já era tarde",do,souberam,preposição,incorreta,0.0,incorreta
"Quando as autoridades souberam, já [LACUNA] tarde",era,era,verbo,exata,1.0,exata
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,nas,tomaram,contração,incorreta,0.0,incorreta
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,que,comeram,conjunção integrativa,incorreta,0.0,incorreta
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,se,foi,conjunção condicional,incorreta,0.0,incorreta
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,São,incorporaram,verbo,classe_correta,0.5,classe_correta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],ataca,devoravam,verbo,aceitavel,0.5,classe_correta
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",e,mudou,verbo,classe_correta,0.0,incorreta
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",os,eram,artigo definido,incorreta,0.0,incorreta
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",esta,dominavam,verbo,classe_correta,0.0,incorreta
Alguns humanos [LACUNA],São,sobreviveram,verbo,classe_correta,0.5,classe_correta
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,o,devoraram,artigo definido,incorreta,0.0,incorreta
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,que,começaram,pronome relativo,incorreta,0.0,incorreta
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,que,fazer,conjunção integrativa,incorreta,0.0,incorreta
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",São,reproduziram,verbo,classe_correta,0.5,classe_correta
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",tem,venderam,verbo,classe_correta,0.5,classe_correta
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,e,perderam,verbo,classe_correta,0.0,incorreta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,São,começaram,verbo,classe_correta,0.5,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,aqueles,agredir,pronome demonstrativo,incorreta,0.0,incorreta
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",São,tiveram,verbo,classe_correta,0.5,classe_correta
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",porque,machucassem,conjunção explicativa,incorreta,0.0,incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",que,pegaram,conjunção integrativa,incorreta,0.0,incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",que,despejaram,pronome relativo,incorreta,0.0,incorreta
E [LACUNA] a descarga,nao,puxaram,advérbio de negação,incorreta,0.5,classe_correta
[LACUNA] um erro fatal para os jacarés,ne,Foi,-,incorreta,0.5,classe_correta
"Mas eles [LACUNA] ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",são,eram,verbo,aceitavel,1.0,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",que,despejaram,pronome relativo,incorreta,0.0,incorreta
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",estam,puxaram,verbo,incorreta,0.5,classe_correta
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",machuque,machucassem,verbo,aceitavel,1.0,aceitavel
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",é,Foi,verbo,aceitavel,1.0,aceitavel
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",estam,sobreviveram,verbo,classe_correta,0.5,classe_correta
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",elu,moraram,pronome pessoal,incorreta,0.0,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",que,reproduziram,conjunção integrante,incorreta,0.0,incorreta
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",é,aumentava,verbo,classe_correta,0.5,classe_correta
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",os,ficaram,artigo,incorreta,0.0,incorreta
"Quando as autoridades [LACUNA], já era tarde",chegaram,souberam,verbo,classe_correta,1.0,aceitavel
"Quando as autoridades souberam, já [LACUNA] tarde",estava,era,verbo,aceitavel,1.0,aceitavel
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,apareceram,tomaram,verbo,classe_correta,0.5,classe_correta
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,mas,comeram,conjunção adversativa,incorreta,0.0,incorreta
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,jacarés,foi,nome substantivo,incorreta,0.0,incorreta
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,que,incorporaram,pronome relativo,incorreta,0.0,incorreta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],modificaram,devoravam,verbo,classe_correta,0.5,classe_correta
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",mudança,mudou,nome substantivo,incorreta,0.5,classe_correta
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",os,eram,artigo definido,incorreta,0.0,incorreta
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",estam,dominavam,verbo,classe_correta,0.5,classe_correta
Alguns humanos [LACUNA],estranhos,sobreviveram,adjetivo,incorreta,0.0,incorreta
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,é,devoraram,verbo ,classe_correta,0.5,classe_correta
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,humana,começaram,nome substantivo,incorreta,0.0,incorreta
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,que,fazer,conjunção integrativa,incorreta,0.0,incorreta
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",são,reproduziram,verbo,classe_correta,0.5,classe_correta
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",usam,venderam,verbo,classe_correta,0.5,classe_correta
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,foram,perderam,verbo,classe_correta,0.5,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,mais,começaram,advérbio de intensidade,incorreta,0.0,incorreta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,os,agredir,artigo,incorreta,0.0,incorreta
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",tem,tiveram,verbo,classe_correta,0.5,classe_correta
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",vivem,machucassem,verbo,classe_correta,0.5,classe_correta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",que,pegaram,conjunção integrativa,incorreta,0.0,incorreta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",jacarés,despejaram,nome substantivo,incorreta,0.0,incorreta
E [LACUNA] a descarga,que,puxaram,pronome relativo,incorreta,0.0,incorreta
[LACUNA] um erro fatal para os jacarés,é,Foi,verbo,aceitavel,1.0,aceitavel
"Mas eles [LACUNA] ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",eram,eram,verbo,exata,1.0,exata
"Mas eles eram ferozes como seus ancestrais e os pais das crianças [LACUNA] os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se machucassem",viram,despejaram,verbo,classe_correta,0.5,classe_correta
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e [LACUNA] a descarga, com medo de que seus filhos se machucassem",deram,puxaram,verbo,aceitavel,1.0,aceitavel
"Mas eles eram ferozes como seus ancestrais e os pais das crianças despejaram os jacarezinhos nos vasos sanitários e puxaram a descarga, com medo de que seus filhos se [LACUNA]",machucassem,machucassem,verbo,exata,1.0,exata
"[LACUNA] um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se reproduziram durante anos",aconteceu,Foi,verbo,aceitavel,1.0,aceitavel
"Foi um erro fatal, centenas de jacarés [LACUNA] e moraram no esgoto da cidade, assim se reproduziram durante anos",minúsculos,sobreviveram,adjetivo,incorreta,0.0,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e [LACUNA] no esgoto da cidade, assim se reproduziram durante anos",ferozes,moraram,adjetivo,incorreta,0.0,incorreta
"Foi um erro fatal, centenas de jacarés sobreviveram e moraram no esgoto da cidade, assim se [LACUNA] durante anos",iniciou,reproduziram,verbo,classe_correta,0.5,classe_correta
"Cada geração [LACUNA] de tamanho, no fim, ficaram muito maiores que crocodilos",cresceu,aumentava,verbo,aceitavel,0.5,classe_correta
"Cada geração aumentava de tamanho, no fim, [LACUNA] muito maiores que crocodilos",eram,ficaram,verbo,aceitavel,1.0,aceitavel
"Quando as autoridades [LACUNA], já era tarde",perceberam,souberam,verbo,aceitavel,1.0,aceitavel
"Quando as autoridades souberam, já [LACUNA] tarde",era,era,verbo,exata,1.0,exata
Milhões de jacarés gigantescos [LACUNA] as ruas num ataque surpresa e comeram a maior parte da população,andavam,tomaram,verbo,classe_correta,0.5,classe_correta
Milhões de jacarés gigantescos tomaram as ruas num ataque surpresa e [LACUNA] a maior parte da população,assustava,comeram,verbo,classe_correta,0.5,classe_correta
Mais espantoso ainda [LACUNA] que os jacarés incorporaram a personalidade daqueles que devoravam,era,foi,verbo,aceitavel,1.0,aceitavel
Mais espantoso ainda foi que os jacarés [LACUNA] a personalidade daqueles que devoravam,roubavam,incorporaram,verbo,classe_correta,0.5,classe_correta
Mais espantoso ainda foi que os jacarés incorporaram a personalidade daqueles que [LACUNA],existiam,devoravam,verbo,classe_correta,0.5,classe_correta
"De modo que a estrutura da cidade não [LACUNA] muito, só que eram jacarés que dominavam a cidade no lugar de seres humanos",conseguisse,mudou,verbo,classe_correta,0.5,classe_correta
"De modo que a estrutura da cidade não mudou muito, só que [LACUNA] jacarés que dominavam a cidade no lugar de seres humanos",os,eram,artigo definido,incorreta,0.0,incorreta
"De modo que a estrutura da cidade não mudou muito, só que eram jacarés que [LACUNA] a cidade no lugar de seres humanos",habitavam,dominavam,verbo,classe_correta,1.0,aceitavel
Alguns humanos [LACUNA],morreram,sobreviveram,verbo,classe_correta,1.0,aceitavel
Os jacarés que [LACUNA] os cientistas especializados em genética começaram a fazer experiências com suas cobaias humanas,viraram,devoraram,verbo ,classe_correta,0.5,classe_correta
Os jacarés que devoraram os cientistas especializados em genética [LACUNA] a fazer experiências com suas cobaias humanas,criaram,começaram,verbo ,classe_correta,0.5,classe_correta
Os jacarés que devoraram os cientistas especializados em genética começaram a [LACUNA] experiências com suas cobaias humanas,diversa,fazer,adjetivo,incorreta,0.0,incorreta
"Eles [LACUNA] nos laboratórios homenzinhos com vinte centímetros de altura, e os venderam como brinquedos para os filhotes de jacarés",criaram,reproduziram,verbo,aceitavel,1.0,aceitavel
"Eles reproduziram nos laboratórios homenzinhos com vinte centímetros de altura, e os [LACUNA] como brinquedos para os filhotes de jacarés",deram,venderam,verbo,classe_correta,1.0,aceitavel
Mas os minúsculos seres não [LACUNA] a ferocidade de seus ancestrais e começaram a agredir seus donos com lanças improvisadas,tinham,perderam,verbo,classe_correta,0.5,classe_correta
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e [LACUNA] a agredir seus donos com lanças improvisadas,começaram,começaram,verbo,exata,1.0,exata
Mas os minúsculos seres não perderam a ferocidade de seus ancestrais e começaram a [LACUNA] seus donos com lanças improvisadas,atacar,agredir,verbo,aceitavel,1.0,aceitavel
"Os jacarés [LACUNA] receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",tinham,tiveram,verbo,aceitavel,1.0,aceitavel
"Os jacarés tiveram receio de que seus filhos se [LACUNA], por isso pegaram os homenzinhos e os despejaram nos vasos sanitários",assustasem,machucassem,verbo,classe_correta,0.5,classe_correta
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso [LACUNA] os homenzinhos e os despejaram nos vasos sanitários",colocaram,pegaram,verbo,classe_correta,1.0,aceitavel
"Os jacarés tiveram receio de que seus filhos se machucassem, por isso pegaram os homenzinhos e os [LACUNA] nos vasos sanitários",colocavam,despejaram,verbo,aceitavel,0.5,classe_correta
